"num" "sf" "shift" "freq" "LM" "MW" "C" "N" "P" "O" "cansmi" "envlab" "ref" "rho_vac" "rho_chcl3" "rho_dmso" "rho_h2o" "rho_tol" "rho_acn" "rho_kt3" "rho_r2s" "delta_vac" "delta_chcl3" "delta_dmso" "delta_h2o" "delta_tol" "delta_acn" "delta_kt3" "delta_r2s" "delta_ens_bol" "delta_ens_min" "delta_ens_max"
"1" "Lan1-CMP1" "BrCl2PS" -11.5 NA "CDCl3" 213.848761 0 0 1 0 "ClP(=S)(Br)Cl" "Cl1Cl1Br1S2" "Dillon, K.B., Gemmell, P., Hibbert, T.H., Xue, B.Y.: Heteroatom Chem. 21 (2010) 159." 180.748 167.475 163.035 163.128 171.809 163.197 261.904 287.846 82.685 94.872 99.143 99.017 90.814 98.987 44.681 54.799 82.624311 82.624311 82.624311
"2" "Lan1-CMP4" "Br2ClPS" -59.5 NA "CDCl3" 258.299761 0 0 1 0 "ClP(=S)(Br)Br" "S2Cl1Br1Br1" "Dillon, K.B., Gemmell, P., Hibbert, T.H., Xue, B.Y.: Heteroatom Chem. 21 (2010) 159." 172.682 158.64 153.867 153.971 163.136 154.041 257.275 283.16 90.751 103.707 108.311 108.174 99.487 108.143 49.31 59.485 90.949595 90.949595 90.949595
"3" "Lan1-CMP13" "Br3PS" -111.5 NA "CDCl3" 302.750761 0 0 1 0 "BrP(=S)(Br)Br" "Br1S2Br1Br1" "Dillon, K.B., Gemmell, P., Hibbert, T.H., Xue, B.Y.: Heteroatom Chem. 21 (2010) 159." 165.009 149.923 144.83 144.942 154.861 145.016 253.432 279.076 98.424 112.424 117.348 117.203 107.762 117.168 53.153 63.569 98.425956 98.425956 98.425956
"4" "Lan1-CMP25" "Cl3PS" 22.3 NA "CDCl3" 169.397761 0 0 1 0 "ClP(=S)(Cl)Cl" "Cl1S2Cl1Cl1" "Dillon, K.B., Gemmell, P., Hibbert, T.H., Xue, B.Y.: Heteroatom Chem. 21 (2010) 159." 188.939 176.569 172.519 172.601 180.563 172.666 267.161 292.989 74.494 85.778 89.659 89.544 82.06 89.518 39.424 49.656 74.520093 74.520093 74.520093
"5" "Lan1-CMP32" "CCl4FOP" 24.3 NA "CCl4" 219.7942642 1 0 1 1 "ClP(=O)(C(Cl)(Cl)F)Cl" "C1O2Cl1Cl1" "Martynov, B.I., Ponomarenko, G.P., Pavlova, N.A., Festisova, E.N.: Phosphorus, Sulfur Silicon Relat. Elem. 129 (1997) 74." 229.063 221.552 219.422 219.472 223.87 219.501 285.126 311.779 34.37 40.795 42.756 42.673 38.753 42.683 21.459 30.866 35.0868775098548 34.503893 36.71272
"6" "Lan1-CMP39" "CH3Cl2OP" 181.5 NA "CDCl3" 132.913681 1 0 1 1 "CP(=O)(Cl)Cl" "Cl1Cl1C1O2" "Majewski, P.: Phosphorus, Sulfur Silicon Relat. Elem. 184 (2009) 942." 211.109 193.102 187.728 187.772 198.707 187.918 265.839 294.517 52.324 69.245 74.45 74.373 63.916 74.266 40.746 48.128 52.328832 52.328832 52.328832
"7" "Lan1-CMP40" "CH3Cl2OP" 44.1 NA "CDCl3" 132.913681 1 0 1 1 "CP(=O)(Cl)Cl" "Cl1Cl1C1O2" "Purnanand, Shakya, P.D., Saxena, S., Sharma, M., Lal, B.: Phosphorus, Sulfur Silicon Relat. Elem. 177 (2002) 1093." 211.145 193.055 187.648 187.692 198.691 187.84 265.867 294.541 52.288 69.292 74.53 74.453 63.932 74.344 40.718 48.104 52.32852 52.32852 52.32852
"8" "Lan1-CMP43" "CH6F3N4O3PS" -10.17 NA "D2O" 242.1173106 1 4 1 3 "NNP(=NN)OS(=O)(=O)C(F)(F)F" "N2N1H1O1" "Vashisht, S.K., Bandhu, K.: Phosphorus, Sulfur Silicon Relat. Elem. 126 (1997) 101." 258.506 249.27 247.024 247.064 252.059 247.108 307.28 332.579 4.92700000000002 13.077 15.154 15.081 10.564 15.076 -0.694999999999993 10.066 -3.70253916242293 -47.264074 35.9754
"9" "Lan1-CMP46" "C2H2Cl5OP" 178.6 NA "CDCl3" 250.275441 2 0 1 1 "ClC(CP(=O)(Cl)Cl)(Cl)Cl" "C1O2Cl1Cl1" "Majewski, P.: Phosphorus, Sulfur Silicon Relat. Elem. 184 (2009) 942." 225.302 212.276 208.283 208.353 216.399 208.429 280.396 308.462 38.131 50.071 53.895 53.792 46.224 53.755 26.189 34.183 38.403033376319 38.225629 39.395457
"10" "Lan1-CMP47" "C2H3Cl2OP" 31.9 NA NA 144.924381 2 0 1 1 "C=CP(=O)(Cl)Cl" "C1O2Cl1Cl1" "Okucu, S., Fischer, R., Thönnessen, H., Fild, M., Jones, P.G., Schmutzler, R.: Phosphorus, Sulfur Silicon Relat. Elem. 174 (2001) 49." 222.706 209.372 205.33 205.366 213.567 205.474 276.395 304.61 40.727 52.975 56.848 56.779 49.056 56.71 30.19 38.035 39.7474297310293 39.619613 40.732434
